       0.048888       0.964876      -0.032851      -0.079081
       0.097776       1.013923      -0.067447      -0.079728
       0.146665       1.024335      -0.018187      -0.108514
       0.195553       1.012423      -0.147038      -0.097442
       0.244441       1.000299      -0.139294      -0.173016
       0.293329       0.959400      -0.090494      -0.126019
       0.342217       0.989590      -0.188701      -0.185457
       0.391106       0.995229      -0.156066      -0.190017
       0.439994       1.003010      -0.155857      -0.144574
       0.488882       0.954277      -0.128227      -0.146646
       0.537770       0.958035      -0.103758      -0.100657
       0.586659       0.963641      -0.096845      -0.078276
       0.635547       1.014038      -0.109910      -0.086274
       0.684435       0.963507      -0.125728      -0.073816
       0.733323       0.960746      -0.098228      -0.118563
       0.782211       0.966819      -0.056535      -0.089546
       0.831100       1.010652      -0.112638      -0.095770
       0.879988       0.953127      -0.162484      -0.136260
       0.928876       0.952775      -0.197273      -0.073924
       0.977764       0.986859      -0.227529      -0.133566
       1.026652       0.957419      -0.126332      -0.075012
       1.075541       0.997198      -0.191630      -0.128856
       1.124429       1.000597      -0.204397      -0.069174
       1.173317       0.996832      -0.178616      -0.141327
       1.222205       0.952041      -0.166662      -0.103531
       1.271094       0.950941      -0.120545      -0.136547
       1.319982       0.956184      -0.175418      -0.068157
       1.368870       1.010348      -0.156761      -0.080913
       1.417758       1.022761      -0.106897      -0.057611
       1.466646       0.962283      -0.128685      -0.081340
       1.515535       0.945184      -0.168694      -0.154716
       1.564423       1.016465      -0.100755      -0.086735
       1.613311       0.955273      -0.102424      -0.132249
       1.662199       1.005481      -0.101663      -0.166539
       1.711087       0.951070      -0.175270      -0.108905
       1.759976       0.995719      -0.192596      -0.141731
       1.808864       0.956875      -0.104477      -0.111001
       1.857752       1.007806      -0.151390      -0.135764
       1.906640       0.997214      -0.196393      -0.129793
       1.955529       0.987218      -0.172784      -0.201105
       2.004417       0.951610      -0.124667      -0.134395
       2.053305       0.951561      -0.124411      -0.153730
       2.102193       0.949103      -0.157071      -0.128431
       2.151081       0.999416      -0.193078      -0.137410
       2.199970       0.940305      -0.209313      -0.152282
       2.248858       0.999107      -0.147144      -0.182300
       2.297746       0.987870      -0.130636      -0.243117
       2.346634       0.946049      -0.108747      -0.195958
       2.395522       0.950461      -0.095502      -0.170250
       2.444411       0.956096      -0.046681      -0.140459
       2.493299       0.951291      -0.070149      -0.191610
       2.542187       0.961484      -0.014412      -0.161543
       2.591075       0.950548       0.070234      -0.112390
       2.639963       1.020585       0.075995      -0.101600
       2.688852       1.020318       0.005874      -0.131134
       2.737740       1.015180       0.013403      -0.158879
       2.786628       1.008654      -0.044673      -0.168061
       2.835516       0.971790       0.005497      -0.118486
       2.884405       0.969534      -0.037431      -0.123614
       2.933293       1.003487      -0.105837      -0.155810
       2.982181       0.968182      -0.014807      -0.139558
       3.031069       1.022625      -0.032339      -0.112035
       3.079957       1.026294       0.015736      -0.064519
